fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
"1",35,Boston,"1","0",0,"0","537826","256886","280940","86666","397763","53397","257973","114213","1076","49770","156","7996","13021","93621","98304","41377","24642","17374","8584","3546","2781","125752","85866","28158","7143","3137","925","324","199","259822","27338","18126","11513","10520","8304","8649","7270","8584","6857","14333","20117","26133","23193","17038","21677","30170"
"2",73,Dedham,"1","0",0,"1","24852","12030","12822","5190","15106","4556","21124","1283","46","648","4","74","307","1366","6337","2674","1482","1349","558","182","92","3336","2763","500","47","18","4","4","0","10326","265","230","381","316","280","385","288","256","230","557","836","1211","859","843","1587","1802"
"3",100,Framingham,"1","0",86.3575001236447,"1","25686","12823","12863","5542","18027","2117","11030","1983","61","1382","14","2943","1534","6739","5523","1910","1567","1124","567","217","138","4452","3273","777","216","106","49","19","12","9047","769","575","302","486","397","491","547","368","268","882","1108","1169","722","455","387","121"
"4",141,Hudson,"1","0",0,"0","19063","9403","9660","4347","11985","2731","16945","276","13","426","0","250","339","814","5131","2127","1184","1171","430","141","78","2397","1946","378","49","19","4","1","0","7686","140","176","332","192","200","352","239","226","231","581","634","1059","786","800","978","760"
"5",107,Gloucester,"1","0",3.34465474459346,"1","28310","13593","14717","5301","18026","4983","26639","196","28","251","16","99","299","782","7385","3439","1783","1367","551","170","75","4848","3987","762","74","16","8","1","0","12480","565","626","706","702","474","464","523","522","384","933","1146","1716","1060","840","941","878"
"6",136,Holliston,"1","0",0,"1","13461","6642","6819","3608","8237","1616","12562","116","12","330","2","61","133","245","3833","1444","896","1016","366","81","30","1031","854","155","11","7","1","2","1","5278","57","63","157","93","41","146","62","91","130","285","253","603","653","463","871","1310"
"7",262,Saugus,"1","0",0,"1","26438","12585","13853","5061","16737","4640","23712","510","28","706","1","128","307","1046","7096","2886","1731","1482","653","242","102","3137","2639","433","50","11","2","2","0","10429","422","518","409","196","403","235","314","418","309","540","956","1583","1217","929","1081","899"
"8",163,Lynn,"1","0",38.8049023782738,"1","62515","30769","31746","16094","39627","6794","24330","7488","138","5157","28","287","1405","23682","13954","4394","3258","2857","1682","887","876","9226","7753","1205","152","57","36","10","13","22621","2872","1864","1121","1127","863","981","1295","1089","760","1407","2036","2708","1715","1116","1211","456"
"9",177,Medway,"1","0",0,"1","12754","6207","6547","3586","7839","1329","11925","124","20","277","1","10","146","251","3443","1140","841","914","381","128","39","991","828","139","20","3","1","0","0","4691","96","101","74","140","41","107","166","114","14","183","243","455","726","350","857","1024"
"10",207,Newton,"1","0",77.1680474686319,"1","26822","12309","14513","5197","17291","4334","20137","846","24","3794","8","134","543","1336","6407","2790","1684","1322","436","124","51","5464","4191","937","213","87","25","7","4","9579","251","185","188","226","314","285","204","196","225","433","863","1089","936","717","1275","2192"
